[85, 170, 6, 4, 1, 1, 0, 6, 0]
[85, 170, 6, 4, 1, True, 1, 7, 0]
{'voltage': 237.763, 'current': 0.04, 'voltage_peak': 336.247, 'current_peak': 0.05, 'Power_factor': 0.19990000000000002, 'Frequency': 50.17, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.004, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:41', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.763, 'current': 0.04, 'voltage_peak': 336.247, 'current_peak': 0.05, 'Power_factor': 0.19990000000000002, 'Frequency': 50.17, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.004, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:41', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.019, 'current': 0.04, 'voltage_peak': 336.609, 'current_peak': 0.05, 'Power_factor': 0.0454, 'Frequency': 50.19, 'Active_Power': 0.0001, 'Reactive_Power': 0.0022, 'Apparent_Power': 0.0022, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:42', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.019, 'current': 0.04, 'voltage_peak': 336.609, 'current_peak': 0.05, 'Power_factor': 0.0454, 'Frequency': 50.19, 'Active_Power': 0.0001, 'Reactive_Power': 0.0022, 'Apparent_Power': 0.0022, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:42', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.23000000000002, 'current': 0.04, 'voltage_peak': 336.908, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 0.002, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:43', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.23000000000002, 'current': 0.04, 'voltage_peak': 336.908, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 0.002, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:43', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.959, 'current': 0.04, 'voltage_peak': 336.524, 'current_peak': 0.05, 'Power_factor': 0.9666, 'Frequency': 50.18, 'Active_Power': 0.0029000000000000002, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.003, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:44', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.959, 'current': 0.04, 'voltage_peak': 336.524, 'current_peak': 0.05, 'Power_factor': 0.9666, 'Frequency': 50.18, 'Active_Power': 0.0029000000000000002, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.003, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:44', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.079, 'current': 0.04, 'voltage_peak': 336.694, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0, 'Apparent_Power': 0.0005, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:45', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.079, 'current': 0.04, 'voltage_peak': 336.694, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0, 'Apparent_Power': 0.0005, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:45', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
